10000 10000
1154 110 0
9104 9730 1
5698 70 0
6705 9122 1
4977 9178 0
1940 8671 1
2430 7016 0
1538 4769 1
4280 5345 0
6058 5605 1
6153 5530 0
8103 8694 1
358 988 0
5829 8493 1
7698 5683 0
5353 6021 1
5431 1899 0
5217 6328 1
1113 9315 0
1249 7968 1
3333 7667 0
7673 9144 1
7142 9646 0
6035 6596 1
5195 2206 0
5094 3933 1
1887 5143 0
3543 74 1
6974 8012 0
3935 8230 1
7599 2797 0
5293 8560 1
8643 9819 0
9666 2464 1
4580 640 0
3787 9284 1
9265 6875 0
594 8222 1
3744 7799 0
3261 2718 1
4702 544 0
8426 1141 1
5342 9925 0
6695 6856 1
5577 7859 0
8602 9298 1
9416 9573 0
9478 8182 1
2377 6765 0
8397 943 1
6807 9194 0
8335 5566 1
2323 3604 0
2168 7866 1
2275 2624 0
5193 3178 1
9326 8471 0
1698 9614 1
4225 7210 0
7723 9169 1
7243 3900 0
4362 8930 1
2148 8529 0
5292 9045 1
3382 9350 0
6633 2284 1
4451 4709 0
4793 2652 1
1360 7818 0
5778 1157 1
1360 4920 0
6751 9256 1
2518 9075 0
8689 219 1
2739 5125 0
1692 3682 1
7073 4005 0
6880 9881 1
7983 8747 0
3251 6315 1
4812 2248 0
6132 3619 1
2880 3725 0
3346 6834 1
5115 5738 0
7360 3793 1
2437 3921 0
7600 2184 1
4466 7712 0
5704 8756 1
6084 5051 0
2938 4223 1
9870 4212 0
2701 8646 1
9352 3255 0
7086 2109 1
6529 225 0
2728 6376 1
6112 1032 0
6981 3581 1
1973 97 0
9438 4770 1
3305 8156 0
1367 5649 1
3317 6905 0
1364 8202 1
2086 9315 0
9404 898 1
9435 8995 0
1716 5512 1
4537 9959 0
8131 9644 1
1141 9238 0
2984 3904 1
1399 9245 0
6713 1810 1
1632 1004 0
4650 7437 1
5212 8148 0
7160 890 1
4917 521 0
1015 794 1
9716 3725 0
3735 9330 1
8580 4151 0
9288 2941 1
7310 5989 0
2606 4342 1
9675 1274 0
7254 9979 1
1277 3803 0
1154 1876 1
834 9902 0
7697 1857 1
9749 3080 0
7862 810 1
6203 7694 0
711 6154 1
3429 8857 0
2490 7990 1
4085 8744 0
8485 1028 1
7654 7229 0
4538 1968 1
7042 5139 0
6702 1452 1
5482 3775 0
3651 4130 1
8235 1126 0
7405 6936 1
5438 2898 0
1315 2986 1
7806 2599 0
9613 8152 1
3804 7506 0
4413 8293 1
3355 121 0
6383 9436 1
9511 1880 0
7098 9946 1
3375 1823 0
1193 8805 1
8041 4144 0
6865 6718 1
137 3760 0
7959 4097 1
7808 8728 0
3576 5153 1
4755 780 0
594 3362 1
1820 8111 0
5440 8399 1
8805 3301 0
6800 4985 1
2453 6621 0
8178 5420 1
1707 5166 0
6878 1462 1
2013 9925 0
7181 8039 1
1338 8425 0
8521 7192 1
4610 1514 0
2229 4643 1
9622 2689 0
2655 2509 1
4876 5816 0
7233 1493 1
3450 9180 0
6810 5796 1
7508 2052 0
6913 8590 1
7027 4853 0
1114 1082 1
9127 8118 0
6455 1636 1
326 2205 0
114 6385 1
1533 145 0
3792 8714 1
7246 3040 0
193 7186 1
7194 1194 0
3935 4747 1
9999 5006 0
8661 4285 1
9184 6497 0
9478 8545 1
2003 9535 0
5628 9834 1
416 1275 0
1396 8768 1
2088 381 0
7414 1145 1
1051 9010 0
9948 9022 1
6190 1641 0
1161 153 1
7951 5923 0
324 2895 1
455 4768 0
4242 5577 1
706 329 0
913 8093 1
1389 7343 0
152 8511 1
2894 7452 0
3085 8835 1
1059 6694 0
1417 9863 1
4135 639 0
359 748 1
1754 6068 0
1035 3953 1
7662 6829 0
1429 6498 1
3618 381 0
8629 2186 1
6016 1176 0
9860 9591 1
8782 3657 0
1664 1005 1
445 7382 0
6688 2915 1
1484 7433 0
9263 1463 1
5269 6351 0
4217 9078 1
607 3518 0
9588 9188 1
8134 832 0
4247 7983 1
4677 1094 0
4658 506 1
8445 6754 0
5777 2668 1
8302 8873 0
4676 4105 1
1977 7970 0
2801 1844 1
4682 2285 0
2122 6464 1
8329 6766 0
6342 5189 1
6865 5357 0
2545 4079 1
4164 2947 0
2307 7120 1
8876 8313 0
1414 4478 1
9390 5419 0
7496 4580 1
3413 5509 0
748 7596 1
2686 8150 0
4322 9190 1
9749 3500 0
7291 1484 1
2836 9790 0
9427 3934 1
9439 5995 0
6357 2262 1
9862 6939 0
591 9259 1
7916 8215 0
1831 9441 1
5134 6163 0
2491 5693 1
6365 8436 0
927 1737 1
8797 5658 0
5936 7680 1
2021 9989 0
234 6869 1
4018 8757 0
5698 5956 1
7673 5078 0
2431 1593 1
2110 8621 0
1303 2112 1
222 3570 0
5491 9766 1
3680 3160 0
3099 9355 1
1676 9335 0
9938 1030 1
1247 7210 0
910 6663 1
8455 4009 0
9937 4751 1
7708 8731 0
4525 2427 1
6453 103 0
1235 9119 1
1844 1872 0
2844 2360 1
6716 6043 0
3736 5612 1
7168 3309 0
8737 1807 1
1044 4416 0
7091 3602 1
8969 9900 0
6810 9531 1
2629 8061 0
3930 2566 1
4150 6764 0
5691 3180 1
2578 5969 0
5793 104 1
1115 9447 0
5572 2044 1
6788 867 0
8944 3039 1
4531 3747 0
8727 2609 1
3904 5059 0
6890 4734 1
1818 1126 0
7160 6750 1
7774 7376 0
9006 2669 1
4797 640 0
6014 6109 1
71 3718 0
9290 9901 1
3245 2648 0
1762 8465 1
1248 7859 0
9870 7725 1
2538 7736 0
7240 6611 1
1471 6784 0
9886 9348 1
5140 2624 0
769 236 1
8193 8471 0
9206 1652 1
9855 5147 0
125 252 1
3133 377 0
5389 8200 1
8271 3093 0
8189 4279 1
4323 1682 0
1074 6422 1
8379 4109 0
7606 4327 1
5884 7283 0
8580 5033 1
7820 2258 0
9794 5516 1
3294 7838 0
1249 5364 1
2691 1018 0
2358 914 1
7021 8556 0
4921 2974 1
871 6456 0
8697 7729 1
1086 7353 0
7103 5580 1
694 524 0
1763 4774 1
2658 1647 0
5802 2160 1
6332 4227 0
1606 1211 1
7647 2492 0
2961 6339 1
7448 1094 0
4019 5437 1
3941 7306 0
5346 9637 1
6909 8407 0
7017 471 1
9473 6727 0
1119 562 1
5593 6445 0
9654 1389 1
9201 1137 0
753 7860 1
590 7781 0
7577 4368 1
6569 7482 0
1298 5748 1
1142 7502 0
2798 7615 1
4997 2825 0
9430 1491 1
7148 1927 0
367 7625 1
8302 6635 0
5703 132 1
8063 5872 0
7513 5434 1
5666 4529 0
1260 2639 1
5784 6903 0
6132 675 1
8258 2312 0
8532 6753 1
8759 2470 0
1340 181 1
2629 8890 0
5307 6576 1
2966 1824 0
4206 8228 1
8581 7864 0
1594 8069 1
889 7392 0
9438 6945 1
9068 6712 0
6015 3167 1
6714 305 0
2787 2222 1
8999 667 0
4176 3975 1
3950 4099 0
488 2021 1
834 3 0
9664 543 1
1577 1934 0
7181 2154 1
4721 2318 0
9104 6006 1
2876 7373 0
7723 964 1
625 5405 0
4229 6692 1
5756 4358 0
3728 7136 1
6022 9526 0
343 2477 1
745 8215 0
1052 7538 1
1003 9505 0
4378 2443 1
7608 2274 0
4124 3351 1
6906 1875 0
4840 5628 1
4184 2031 0
3631 2585 1
449 2423 0
7253 1657 1
3903 2204 0
2404 8076 1
6640 3536 0
3030 1858 1
1483 7089 0
3956 4350 1
1729 9673 0
2896 8663 1
2942 523 0
8452 9395 1
9585 4870 0
7714 877 1
7130 7781 0
9436 8271 1
961 5261 0
546 2413 1
9922 8763 0
2784 3529 1
7984 7532 0
4811 9791 1
6400 1850 0
9144 5502 1
2304 6567 0
1528 1146 1
8573 4844 0
4778 5623 1
1436 9304 0
348 5354 1
1454 4622 0
9943 9982 1
5595 8959 0
8965 8626 1
3791 1130 0
2132 1961 1
4179 1847 0
5868 6917 1
2084 3569 0
7396 4280 1
8079 7266 0
1670 68 1
851 7809 0
2532 3935 1
4446 7989 0
2241 8269 1
7916 2747 0
4293 9517 1
8784 1531 0
1808 7759 1
6802 6560 0
4879 4694 1
8966 5670 0
5939 2592 1
2504 4473 0
8069 799 1
2482 5423 0
9720 5238 1
9948 4388 0
5093 15 1
491 8425 0
5751 2299 1
5517 8061 0
8263 3869 1
4304 2650 0
4203 4436 1
141 4948 0
1881 7242 1
876 7273 0
1023 1280 1
5951 3661 0
1612 829 1
3474 4942 0
7526 7826 1
6319 308 0
